,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
58,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35767.0,35805.0,0.000451,0.03,1436.08,5465.0,2009,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
59,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35781.0,35791.0,0.000119,0.03,1436.05,6265.0,2013,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
60,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35784.0,35795.0,0.00013,0.08,1436.24,2938.0,2014,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
61,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35785.0,35789.0,4.74e-05,0.04,1436.11,5900.0,2017,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
62,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,35777.0,35797.0,0.000237,0.02,1436.15,4000.0,2023,5.4,Thales Alenia Space,France/Italy,Cape Canaveral,Falcon 9
63,LEO,Brazil,National Institute for Space Research (INPE),Government,Earth Observation,761.0,764.0,0.00021,98.5,99.9,637.0,2021,4.0,National Institute for Space Research (INPE),Brazil,Satish Dhawan Space Centre,PSLV
64,GEO,USA,SES S.A.,Commercial,Communications,35774.0,35797.0,0.000273,0.04,1436.07,2340.0,2004,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS
65,GEO,USA,SES S.A.,Commercial,Communications,35777.0,35795.0,0.000213,0.04,1436.08,4200.0,2004,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M
66,GEO,USA,SES S.A.,Commercial,Communications,35773.0,35800.0,0.00032,0.06,1436.1,2081.0,2006,15.0,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5
67,GEO,USA,SES S.A.,Commercial,Communications,35778.0,35793.0,0.000178,3.0,1436.1,2500.0,2008,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
68,GEO,USA,SES S.A.,Commercial,Communications,35778.0,35795.0,0.000202,0.05,1436.12,3901.0,2000,15.0,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K
69,LEO,Russia,Moscow State University,Civil,Space Science,514.0,547.0,0.00239,97.5,95.2,4.0,2019,5.4,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz-2.1b
70,GEO,Israel,Space-Communication Ltd.,Military/Commercial,Communications,35777.0,35793.0,0.00019,0.0,1436.04,6500.0,2019,20.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
73,LEO,USA,AMSAT-NA,Civil,Communications,1440.0,1459.0,0.00121,101.4,114.9,29.0,1974,5.4,Amsat-NA,USA,Vandenberg AFB,Delta 2310
75,LEO,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,582.0,600.0,0.00129,97.7,96.5,9.0,2020,5.4,Boston University,USA,Rocket Lab Launch Complex 1,Electron
76,LEO,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,509.0,524.0,0.00109,97.4,94.9,18.0,2019,5.4,CNES ,ESA,Guiana Space Center,Soyuz
78,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35778.0,35793.0,0.000178,0.02,1436.08,4710.0,2000,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
79,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35777.0,35795.0,0.000213,0.02,1436.1,4500.0,2005,15.0,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
80,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,35781.0,35790.0,0.000107,0.01,1436.08,5910.0,2004,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
