,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
4165,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4166,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4167,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4168,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4169,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4170,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4171,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4172,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4173,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4174,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4175,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4176,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4177,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4178,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4179,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4180,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4181,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4182,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4183,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4184,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4185,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4186,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4187,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4188,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4189,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4190,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4191,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4192,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4193,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4194,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4195,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4196,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4197,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4198,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4199,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4200,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4201,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4202,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4203,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4204,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4205,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4206,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4207,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4208,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4209,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4210,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4211,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4212,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4213,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4214,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4215,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4216,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4217,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4218,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4219,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4220,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4221,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4222,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4223,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4224,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4225,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4226,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4227,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4228,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4229,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4230,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4231,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4232,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4233,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4234,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4235,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4236,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4237,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4238,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4239,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4240,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4241,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4242,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4243,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4244,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4245,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4246,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4247,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4248,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4249,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4250,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4251,LEO,USA,SpaceX,Commercial,Communications,549.0,551.0,0.000145,53.0,95.7,227.0,2019,5.4,SpaceX,USA,Cape Canaveral,Falcon 9
4252,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4253,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4254,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4255,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4256,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4257,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4258,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4259,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4260,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4261,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4262,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4263,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4264,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4265,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4266,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4267,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4268,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4269,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4270,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4271,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4272,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4273,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4274,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4275,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4276,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4277,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4278,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4279,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4280,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4281,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4282,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4283,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4284,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4285,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4286,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4287,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4288,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4289,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4290,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4291,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4292,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4293,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4294,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4295,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4296,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4297,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4298,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4299,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4300,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4301,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4302,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4303,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4304,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4305,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4306,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4307,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4308,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4309,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4310,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4311,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4312,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4313,LEO,USA,SpaceX,Commercial,Communications,260.0,280.0,0.00151,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4314,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4315,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4316,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4317,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4318,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4319,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4320,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4321,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4322,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4323,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4324,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4325,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4326,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4327,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4328,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4329,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4330,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4331,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4332,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
4333,LEO,USA,SpaceX,Commercial,Communications,548.0,561.0,0.000939,53.0,95.6,260.0,2021,4.0,SpaceX,USA,Cape Canaveral,Falcon 9
