,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
294,334.0,347.0,0.000969,96.92,91.34,712.0,5.0
295,495.0,510.0,0.00109,97.5,94.6,712.0,5.0
296,500.0,519.0,0.00138,97.5,94.8,1625.0,5.0
297,494.0,509.0,0.00109,97.4,94.6,500.0,5.4
298,325.0,1486.0,0.0798,81.0,103.11,490.0,2.0
300,35785.0,35788.0,3.56e-05,0.05,1436.1,3200.0,5.4
301,738.0,748.0,0.000703,98.55,99.67,1980.0,3.0
302,615.0,635.0,0.00143,97.9,97.2,1980.0,5.0
303,636.0,658.0,0.00157,98.0,97.66,91.0,5.4
305,497.0,517.0,0.00145,97.45,94.76,3.0,5.4
306,507.0,523.0,0.00116,97.5,94.2,36.0,2.0
307,576.0,586.0,0.000719,97.98,96.29,3.0,5.4
308,476.0,500.0,0.00175,97.0,95.0,4.0,5.4
309,573.0,591.0,0.00129,97.7,96.3,4.0,5.4
310,700.0,719.0,0.00134,98.2,98.8,100.0,5.4
311,494.0,511.0,0.00124,85.04,94.6,4.0,5.4
315,550.0,580.0,0.00216,97.6,96.2,10.0,5.4
316,550.0,580.0,0.00216,97.6,96.2,10.0,5.4
317,509.0,523.0,0.00102,97.5,95.0,700.0,3.0
318,535.0,564.0,0.0021,97.5,95.4,3.0,5.4
319,9999.0,138825.0,0.797,28.5,3808.92,4742.0,5.0
320,505.0,522.0,0.00123,97.4,94.9,8.0,5.4
321,690.0,720.0,0.00212,98.1,98.87,50.0,5.4
322,523.0,549.0,0.00188,97.5,94.5,325.0,5.4
323,500.0,519.0,0.00138,97.5,94.2,500.0,3.0
332,697.0,708.0,0.000778,98.2,98.8,273.0,5.0
333,521.0,537.0,0.00116,97.5,95.1,270.0,5.4
334,491.0,511.0,0.00146,85.03,94.6,4.0,5.4
335,729.0,748.0,0.00134,98.5,99.6,100.0,5.4
336,785.0,804.0,0.00133,98.5,98.5,101.0,5.4
337,784.0,804.0,0.0014,98.5,100.7,100.0,5.4
338,778.0,809.0,0.00216,98.46,100.74,100.0,5.4
341,665.0,672.0,0.000497,98.03,96.43,200.0,5.4
342,499.0,517.0,0.00131,85.0,94.8,10.0,5.4
