Launch details,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Time (UTC),Day,Month ,Year,Latitude,Longitude ,Launch location,Rocket Type,Booster fuel type,Stage 1 fuel type,Stage 2 fuel type,Stage 3 fuel type,Stage 4 fuel type,"Boosters mass (each, kg) ","Boosters mass (total, kg)",Stage 1 mass (kg),Stage 2 mass (kg),Stage 3 mass (kg),Stage 4 mass (kg),Kerosene mass (kg),Hydrogen mass (kg),Hypergolic mass (kg),Solid fuel mass (kg),Total Cl mass (kg),
23.383,6,8,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
10.217,8,8,2019,28.583,-80.583,Cape Canaveral,Atlas-5(551),5 x Solid (HTPB),Kerosene,Hydrogen,n/a,n/a,42630,213150,284090,20800,0,0,284090,20800,0,213150,596.82,
4.233,17,8,2019,40.961,100.298,Jiuquan,Jielong-1,n/a,Solid,Solid,Solid,Solid ,0,0,15500,4500,1000,200,0,0,0,21200,43.4,
12.050,19,8,2019,28.246,102.027,Xichang,CZ-3B/G2,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
12.200,19,8,2019,-39.251,177.867,Mahia,Electron KS,n/a,Kerosene,Kerosene,n/a,n/a,0,0,9250,2050,0,0,11300,0,0,0,0,
3.633,22,8,2019,45.996,63.564,Baikonur,Soyuz-2-1a,4 x Kerosene,,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
13.100,22,8,2019,28.531,-80.565,Cape Canaveral,"Delta-4M+(4,2) (upg.)",2 x Solid (HTPB),Hydrogen,Hydrogen,n/a,n/a,29700,59400,204000,20410,0,0,0,224410,0,59400,166.32,
14.000,30,8,2019,62.887,40.847,Plesetsk,Rokot-KM,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,71450,10710,4965,0,0,0,87125,0,0,
23.683,30,8,2019,40.972,100.364,Jiuquan,Kuaizhou-1A,n/a,Solid,Solid,Solid,Hypergolic,0,0,15000,7500,2000,150,0,0,150,24500,42,
3.433,12,9,2019,38.863,111.589,Taiyuan,CZ-4B,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
6.700,19,9,2019,40.961,100.298,Jiuquan,CZ-11,n/a,Solid,Solid,Solid,Solid ,0,0,35000,10000,4050,220,0,0,0,49270,98,
21.167,22,9,2019,28.246,102.027,Xichang,CZ-3B/G3Z,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
