Re-entry details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Controlled?,Time (UTC),Day,Month ,Year,Latitude,Longitude ,Name,Type,Part,Booster separation altitude (km) ,Booster mass (km),First stage mass (km),Second stage mass (km) ,Total Mass (km),NOx from re-entry (km)
N,7.817,26,9,2019,62.929,40.457,Soyuz-2-1b Fregat-M,Rocket body,First stage & boosters,48,,,6550,6550,6550
N,15.417,28,9,2019,43.915,16.357,SL-4,Rocket body,,,,,,2400,2400
Y,10.983,3,10,2019,47.401,69.571,Soyuz MS,Payload,,,,,,7080,1239
N,18.900,4,10,2019,38.863,111.589,CZ-4C,Rocket body,First stage,,0,9500,4000,13500,13500
N,21.000,4,10,2019,-45.482,-135.601,CZ-3C,Rocket body,,,,,,2740,2740
N,10.333,9,10,2019,46.040,63.032,Proton-M Briz-M (Ph.4),Rocket body,First stage,,0,30600,11000,41600,41600
N,2.050,11,10,2019,28.406,-80.605,Pegasus-XL,Rocket body,First stage,,0,1370,420,1790,1790
N,15.450,15,10,2019,-8.264,-171.109,SL-6,Rocket body,,,,,,1050,1050
N,11.950,16,10,2019,-17.506,64.086,PSLV,Rocket body,,,,,,920,920
N,1.417,17,10,2019,-39.251,177.867,Electron KS,Rocket body,First stage,,0,950,,950,950
N,15.400,17,10,2019,28.247,102.029,CZ-3B/G3,Rocket body,First stage & boosters,50,15600,9800,4000,29400,14700
N,6.750,22,10,2019,-29.102,-90.25,CZ-3B,Rocket body,,,,,,2740,2740
N,0.300,28,10,2019,-17.17,-36.812,CZ-3B,Rocket body,,,,,,2740,2740
N,14.050,2,11,2019,37.833,-75.488,Antares-230+,Rocket body,First stage,,0,20600,,20600,20600
N,3.417,3,11,2019,38.863,111.589,CZ-4B,Rocket body,First stage,,0,9500,4000,13500,13500
N,17.767,4,11,2019,28.246,102.027,CZ-3B/G3,Rocket body,First stage & boosters,50,15600,9800,4000,29400,14700
Y,14.983,11,11,2019,28.41,-80.61,Falcon-9 v1.2 (Block 5),Rocket body,First stage,,0,27200,,27200,4760
N,3.717,13,11,2019,40.972,100.364,Kuaizhou-1A,Rocket body,First stage,,0,3000,1500,4500,4500
N,6.633,13,11,2019,38.868,111.580,CZ-6,Rocket body,First stage,,0,7530,1490,9020,9020
N,10.050,17,11,2019,40.972,100.364,Kuaizhou-1A,Rocket body,First stage,,0,3000,1500,4500,4500
N,18.933,17,11,2019,44.395,29.161,CZ-3B,Debris,,,,,,2740,2740
N,19.067,17,11,2019,-54.063,100.958,PSLV,Debris,,,,,,920,920
N,2.233,19,11,2019,-78.416,89.119,KZ-1A,Rocket body,,,,,,1500,1500
N,9.033,19,11,2019,14.044,142.406,Atlas 5 Centaur,Rocket body,,,,,,2243,2243
N,20.767,22,11,2019,-60.35,-63.527,Cosmos 2422,Payload,,,,,,1415,1415
N,0.967,23,11,2019,28.247,102.029,CZ-3B/G3Z,Rocket body,First stage & boosters,50,15600,9800,4000,29400,14700
N,17.917,25,11,2019,62.929,40.457,Soyuz-2-1v Volga,Rocket body,First stage,,0,4900,,4900,4900
N,21.433,26,11,2019,5.239,-52.769,Ariane-5ECA,Rocket body,First stage & boosters,60,76000,14000,,90000,90000
N,4.017,27,11,2019,13.720,80.230,PSLV-XL,Rocket body,First stage & boosters,40,,30000,5400,35400,35400
N,8.183,27,11,2019,-5.079,-62.841,CZ-3C,Rocket body,,,,,,2740,2740
N,23.917,27,11,2019,38.863,111.589,CZ-4C,Rocket body,First stage,,0,9500,4000,13500,13500
N,11.600,4,12,2019,16.958,-56.667,GSLV Mk II,Rocket body,,,,,,2500,2500
N,11.900,4,12,2019,-56.926,48.985,CZ-3A,Rocket body,,,,,,2740,2740
Y,17.533,5,12,2019,28.41,-80.61,Falcon-9 v1.2 (Block 5),Rocket body,First stage,,0,27200,,27200,4760
N,8.350,6,12,2019,-39.251,177.867,Electron KS,Rocket body,First stage,,0,950,,950,950
N,9.617,6,12,2019,45.996,63.564,Soyuz-2-1a,Rocket body,First stage & boosters,48,,,6550,6550,6550
N,2.967,7,12,2019,38.849,111.608,Kuaizhou-1A,Rocket body,First stage,,0,3000,1500,4500,4500
N,8.917,7,12,2019,38.868,111.580,Kuaizhou-1A,Rocket body,First stage,,0,3000,1500,4500,4500
N,1.450,11,12,2019,-61.387,-97.49,SL-6,Rocket body,,,,,,1050,1050
N,8.967,11,12,2019,62.927,40.450,Soyuz-2-1b Fregat-M,Rocket body,First stage & boosters,48,,,6550,6550,6550
N,9.967,11,12,2019,13.720,80.230,PSLV-QL,Rocket body,First stage & boosters,40,,30000,5400,35400,35400
N,7.417,16,12,2019,28.247,102.029,CZ-3B/G3Z,Rocket body,First stage & boosters,50,15600,9800,4000,29400,14700
Y,0.217,17,12,2019,28.41,-80.61,Falcon-9 v1.2 (Block 5),Rocket body,First stage,,0,27200,,27200,4760
N,2.767,18,12,2019,-53.894,98.02,Electron,Rocket body,,,,,,250,250
N,8.950,18,12,2019,5.301,-52.837,Soyuz-ST-A Fregat-M,Rocket body,First stage & boosters,48,,,6550,6550,6550
N,3.417,20,12,2019,38.863,111.589,CZ-4B,Rocket body,First stage,,0,9500,4000,13500,13500
N,11.667,20,12,2019,28.583,-80.583,Atlas-5(N22),Rocket body,First stage & boosters,48,,20740,,20740,20740
Y,14.317,22,12,2019,32.943,-106.420,Starliner,Payload,,,,,,13000,2275
N,12.100,24,12,2019,46.071,62.985,Proton-M Blok-DM-03,Rocket body,First stage,,0,30600,11000,41600,41600
N,23.250,26,12,2019,62.887,40.847,Rokot-KM,Rocket body,First stage,,0,5700,1485,7185,7185
N,12.800,27,12,2019,19.614,110.951,CZ-5,Rocket body,First stage & boosters,72,50000,17000,,67000,67000
N,17.033,27,12,2019,14.175,-60.801,Iridium 97,Payload,,,,,,689,689
N,17.217,31,12,2019,24.96,50.842,DM-F3,Payload,,,,,,4348,4348
,,,,,,,,,,,,,,,1.92E+06
