,Class,Launch_Date,LV_Type,price_per_kg,max_mass
15041,Medium,2021-11-26,Long March 3B,0.026643990929705215,0.18653224033418134
15042,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15043,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15044,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15045,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15046,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15047,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15048,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15049,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15050,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15051,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15052,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15053,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15054,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15055,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15056,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15057,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15058,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15059,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15060,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15061,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15062,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15063,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15064,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15065,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15066,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15067,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15068,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15069,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15070,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15071,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15072,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15073,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15074,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15075,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15076,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15077,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15078,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15079,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15080,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15081,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15082,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15083,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15084,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15085,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15086,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15087,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15088,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15089,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15090,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15091,Medium,2021-12-02,Falcon 9,0.006235827664399092,0.3561355570212632
15092,Medium,2021-12-05,Soyuz,0.09297052154195012,0.12057539495587173
15093,Medium,2021-12-05,Soyuz,0.09297052154195012,0.12057539495587173
15099,Medium,2021-12-07,Atlas V,0.03741496598639456,0.2935393699550865
15100,Medium,2021-12-07,Atlas V,0.03741496598639456,0.2935393699550865
15101,Medium,2021-12-07,Atlas V,0.03741496598639456,0.2935393699550865
15102,Medium,2021-12-08,Soyuz,0.09297052154195012,0.12057539495587173
15103,Small,2021-12-09,Electron,0.12244897959183675,0.0016175131128490215
15104,Small,2021-12-09,Electron,0.12244897959183675,0.0016175131128490215
15105,Medium,2021-12-09,Falcon 9,0.006235827664399092,0.3561355570212632
15108,Heavy,2021-12-13,Proton,0.037981859410430835,0.3278683375734162
15109,Heavy,2021-12-13,Proton,0.037981859410430835,0.3278683375734162
15110,Medium,2021-12-13,Long March 3B,0.026643990929705215,0.18653224033418134
15111,Small,2021-12-15,Kuaizhou,0.051587301587301584,0.0027953139231759786
15112,Small,2021-12-15,Kuaizhou,0.051587301587301584,0.0027953139231759786
15113,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15114,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15115,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15116,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15117,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15118,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15119,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15120,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15121,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15122,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15123,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15124,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15125,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15126,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15127,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15128,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15129,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15130,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15131,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15132,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15133,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15134,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15135,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15136,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15137,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15138,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15139,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15140,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15141,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15142,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15143,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15144,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15145,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15146,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15147,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15148,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15149,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15150,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15151,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15152,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15153,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15154,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15155,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15156,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15157,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15158,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15159,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15160,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15161,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15162,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15163,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15164,Medium,2021-12-18,Falcon 9,0.006235827664399092,0.3561355570212632
15165,Medium,2021-12-19,Falcon 9,0.006235827664399092,0.3561355570212632
15166,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15167,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15168,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15169,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15170,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15171,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15172,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15173,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
15174,Medium,2021-12-21,Falcon 9,0.006235827664399092,0.3561355570212632
