,price_per_kg,max_mass,Max Cost
390,0.08049886621315193,0.056188950657998046,0.08363341110705307
391,0.08049886621315193,0.056188950657998046,0.08363341110705307
396,0.08049886621315193,0.056188950657998046,0.08363341110705307
397,0.08049886621315193,0.056188950657998046,0.08363341110705307
399,0.663265306122449,0.0,0.017782815126938183
407,0.040249433106575964,0.0721599296460316,0.057186623725109645
410,0.08049886621315193,0.056188950657998046,0.08363341110705307
411,0.08049886621315193,0.056188950657998046,0.08363341110705307
413,0.663265306122449,0.0,0.017782815126938183
414,0.07596371882086168,0.021640126888407298,0.0296948714620755
415,0.07596371882086168,0.021640126888407298,0.0296948714620755
416,0.040249433106575964,0.0721599296460316,0.057186623725109645
417,0.663265306122449,0.0,0.017782815126938183
420,0.040249433106575964,0.0721599296460316,0.057186623725109645
434,0.07596371882086168,0.021640126888407298,0.0296948714620755
435,0.040249433106575964,0.0721599296460316,0.057186623725109645
436,0.07596371882086168,0.021640126888407298,0.0296948714620755
444,0.040249433106575964,0.0721599296460316,0.057186623725109645
451,0.663265306122449,0.0,0.017782815126938183
452,0.040249433106575964,0.0721599296460316,0.057186623725109645
457,0.663265306122449,0.0,0.017782815126938183
472,0.07596371882086168,0.021640126888407298,0.0296948714620755
473,0.07596371882086168,0.021640126888407298,0.0296948714620755
486,0.663265306122449,0.0,0.017782815126938183
492,0.040249433106575964,0.0721599296460316,0.057186623725109645
493,0.07596371882086168,0.021640126888407298,0.0296948714620755
505,0.08049886621315193,0.056188950657998046,0.08363341110705307
506,0.08049886621315193,0.056188950657998046,0.08363341110705307
509,0.15873015873015872,0.08759697226671692,0.24973513671774777
513,0.040249433106575964,0.0721599296460316,0.057186623725109645
516,0.07596371882086168,0.021640126888407298,0.0296948714620755
519,0.040249433106575964,0.0721599296460316,0.057186623725109645
520,0.663265306122449,0.0,0.017782815126938183
536,0.040249433106575964,0.0721599296460316,0.057186623725109645
537,0.040249433106575964,0.0721599296460316,0.057186623725109645
543,0.08049886621315193,0.056188950657998046,0.08363341110705307
544,0.08049886621315193,0.056188950657998046,0.08363341110705307
547,0.07596371882086168,0.021640126888407298,0.0296948714620755
