#Launch_Tag,Launch_Date,Piece,Type,Name,PLName,JCAT,LV_Type,Flight_ID,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Agency,Launch_Code,LTCite,price_per_kg,max_mass
1974-035,1974 May 21 0615:59,1974-035A,P,Kosmos-655,Tselina-OM No. 21L,S07306,Kosmos,53719-152,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-F03,1974 May 23 1216:51,1974-F03,P   F,[Kosmos],Yantar'-2K No. 1L,F00714,Soyuz,A 15000-005,-,NIIP-53,LC43/3,-,-,RVSN,OF,NK9718-91,17900,7800
1974-036,1974 May 27 0725:00,1974-036A,PP-H,Kosmos-656,Soyuz 7K-T(A9) No. 61,S07313,Soyuz,A 15000-032,-,NIIP-5,LC1,-,-,RVSN,OS,AK15,17900,7800
1974-037,1974 May 29 0856:51,1974-037A,P   D,Luna-22,E-8LS No. 206,S07315,Proton,282-02,-,NIIP-5,LC81/24,-,-,RVSN,DS,NK9810-25,8200,21000
1974-038,1974 May 30 1244:59,1974-038A,P,Kosmos-657,Germes No. 32L,S07317,Voskhod 11A57,76029  -762,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-039,1974 May 30 1300:01,1974-039A,P,ATS 6,ATS F,S07318,Titan III+,23C-9 (3C-27),-,CC,LC40,-,-,SAMSO,OS,AFT3,21000,14515
1974-040,1974 Jun  3 2309:11,1974-040A,P,Hawkeye 1,Injun 6,S07325,Scout,S191C,-,VS,SLC5,-,-,AFSC,OS,VCR,118500,122
1974-041,1974 Jun  6 0620:00,1974-041A,P,Kosmos-658,Gektor No. 23L,S07328,Voskhod 11A57,77033  -267,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-042,1974 Jun  6 1630,1974-042A,P A,OPS 1776,GAMBIT-3 FM-42,S07330,Titan III+,24B-11 (3B-45),-,VS,SLC4W,-,-,SAMSO,OS,LR740606,21000,14515
1974-042,1974 Jun  6 1630,1974-042,PX-RT--,SRV Mission 4342-1,SRV-1,A02452,Titan III+,24B-11 (3B-45),-,VS,SLC4W,-,-,SAMSO,OS,LR740606,21000,14515
1974-042,1974 Jun  6 1630,1974-042,PX-RT--,SRV Mission 4342-2,SRV-2,A02459,Titan III+,24B-11 (3B-45),-,VS,SLC4W,-,-,SAMSO,OS,LR740606,21000,14515
1974-043,1974 Jun 13 1229:59,1974-043A,P,Kosmos-659,Germes No. 23L,S07334,Voskhod 11A57,77019  -753?,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-044,1974 Jun 18 1300,1974-044A,P,Kosmos-660,Taifun-1V No. 1L,S07337,Kosmos,53714-165,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-045,1974 Jun 21 0903,1974-045A,P,Kosmos-661,Tselina-OM No. 23L,S07339,Kosmos,65053-205,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-046,1974 Jun 24 2238:00,1974-046A,PP H,Salyut-3,Almaz OPS-2,S07342,Proton,283-02,-,NIIP-5,LC81/23,-,-,RVSN,OS,NK9810-25,8200,21000
1974-046,1974 Jun 24 2238:00,1974-046,PX-RT--,KSI,KSI No. 0504,A02480,Proton,283-02,-,NIIP-5,LC81/23,-,-,RVSN,OS,NK9810-25,8200,21000
1974-047,1974 Jun 26 1229:57,1974-047A,P,Kosmos-662,DS-P1-I No. 14L,S07347,Kosmos,29543-163,-,NIIP-53,LC133/3,-,-,RVSN,OS,AK15/AVMDS,14900,1500
1974-048,1974 Jun 27 1539:50,1974-048A,P,Kosmos-663,Zaliv No. 29L (No. 6),S07349,Kosmos,53749-160,-,NIIP-53,LC132/1,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-049,1974 Jun 29 1250:02,1974-049A,P,Kosmos-664,Orion No. 6L,S07351,Soyuz,7602983-  7,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,17900,7800
1974-050,1974 Jun 29 1559:58,1974-050A,P,Kosmos-665,US-K 5V95 No. 2003,S07352,Molniya,A 15000-121,-,NIIP-53,LC41/1,-,-,RVSN,OS,NK9715-48,15700,3700
1974-051,1974 Jul  3 1851:08,1974-051A,PH H,Soyuz-14,Soyuz 7K-T(A9) No. 62,S07361,Soyuz,S 15000-031,-,NIIP-5,LC1,-,-,RVSN,OS,NK0204-71,17900,7800
1974-052,1974 Jul  9 1439:58,1974-052A,P,Meteor,Meteor-Priroda No. 1,S07363,Vostok,76043  -349,-,NIIP-53,LC43/4,-,-,RVSN,OS,NK9817-38,8600,4717
1974-F04,1974 Jul 11 1059:58,1974-F04,P   F,Kosmos,DS-P1-Yu No. 68L,F00717,Kosmos,29543-164,-,NIIP-53,LC133/3,-,-,RVSN,OF,AVMDS,14900,1500
1974-053,1974 Jul 12 1250:01,1974-053A,P,Kosmos-666,Germes No. 31L,S07367,Voskhod 11A57,76029  -761,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-F05,1974 Jul 12 1355,1974-F05,P   F,JSSW 2,Jishu Shiyan Weixing 2,F00719,Feng Bao 1,701-04,-,JQ,LA2B,-,-,SAST,OF,LissovC,NA,NA
1974-054,1974 Jul 14 0517,1974-054A,P,NTS 1,NTS 1,S07369,Atlas F/PTS,69F,-,VS,SLC3W,-,-,SAMSO,OS,Falworth,NA,NA
1974-055,1974 Jul 16 1151:01,1974-055A,P,Aeros 2,Aeros B,S07371,Scout,S186C,-,VS,SLC5,-,-,AFSC,OS,VCR,118500,122
1974-056,1974 Jul 23 0123:01,1974-056A,P,Molniya-2,Molniya-2 No. 21L,S07376,Molniya,78033  -529,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,15700,3700
1974-057,1974 Jul 25 0700:00,1974-057A,P,Kosmos-667,Rotor No. 49L,S07383,Voskhod 11A57,77019  -289,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-058,1974 Jul 25 1206,1974-058A,P,Kosmos-668,DS-P1-Yu No. 74L,S07385,Kosmos,29543-165,-,NIIP-53,LC133/3,-,-,RVSN,OS,AK15,14900,1500
1974-059,1974 Jul 26 0659:59,1974-059A,P,Kosmos-669,Gektor No. 56L,S07389,Voskhod 11A57,76029  -180,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-059,1974 Jul 26 0659:59,1974-059G,PX-S---,Kapsula Kosmosa-669,Nauka 8KS No. 3L,S07404,Voskhod 11A57,76029  -180,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-060,1974 Jul 29 1200:00,1974-060A,P,Molniya-1S,Molniya-1S No. 38L,S07392,Proton,287-01,-,NIIP-5,LC81/24,-,-,RVSN,OS,NK9810-25,8200,21000
1974-061,1974 Aug  6 0002:00,1974-061A,PP H,Kosmos-670,Soyuz 7K-S No. 1L,S07405,Soyuz,K 15000-011,-,NIIP-5,LC1,-,-,RVSN,OS,NK0204-71,17900,7800
1974-062,1974 Aug  7 1249:59,1974-062A,P,Kosmos-671,Germes No. 30L,S07409,Voskhod 11A57,76029  -760,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-063,1974 Aug  9 0322:47,1974-063A,P,DMSP 9532,DMSP Block 5C F-1,S07411,Thor Burner 2A,275/BIIA-22,-,V,SLC10W,-,-,10ADS,OS,SAC7383,NA,NA
1974-064,1974 Aug 12 0625:02,1974-064A,PP H,Kosmos-672,Soyuz 7K-TM No. 72-EPSA,S07413,Soyuz,K 15000-007,-,NIIP-5,LC31,-,-,RVSN,OS,NK0204-71,17900,7800
1974-065,1974 Aug 14 1545,1974-065A,P A,OPS 3004,GAMBIT-3 FM-43,S07416,Titan III+,24B-12 (3B-46),-,VS,SLC4W,-,-,SAMSO,OS,JCM,21000,14515
1974-065,1974 Aug 14 1545,1974-065,PX-RT--,SRV Mission 4343-1,SRV-1,A02478,Titan III+,24B-12 (3B-46),-,VS,SLC4W,-,-,SAMSO,OS,JCM,21000,14515
1974-065,1974 Aug 14 1545,1974-065,PX-RT--,SRV Mission 4343-2,SRV-2,A02484,Titan III+,24B-12 (3B-46),-,VS,SLC4W,-,-,SAMSO,OS,JCM,21000,14515
1974-066,1974 Aug 16 0341,1974-066A,P,Kosmos-673,Ikar No. 1L,S07417,Vostok,78033  -325,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,8600,4717
1974-067,1974 Aug 26 1958:05,1974-067A,PH H,Soyuz-15,Soyuz 7K-T(A9) No. 63,S07421,Soyuz,S 15000-030,-,NIIP-5,LC1,-,-,RVSN,OS,NK0204-71,17900,7800
1974-068,1974 Aug 29 0739:59,1974-068A,P,Kosmos-674,Germes No. 34L,S07423,Voskhod 11A57,78031  -774,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-069,1974 Aug 29 1454:59,1974-069A,P,Kosmos-675,Geoid No. 23L,S07424,Kosmos,53719-154,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-F06,1974 Aug 30 0900:01,1974-F06,P   F,[Kosmos],Gektor No. 50L,F00722,Voskhod 11A57,78031  -196,-,NIIP-53,LC41/1,-,-,RVSN,OF,AK15,NA,NA
1974-F06,1974 Aug 30 0900:01,1974-F06,P   F,[Kapsula],FEU-170-13 No. 3L,F00724,Voskhod 11A57,78031  -196,-,NIIP-53,LC41/1,-,-,RVSN,OF,AK15,NA,NA
1974-070,1974 Aug 30 1407:39,1974-070A,P,ANS,ANS,S07427,Scout,S189C,-,VS,SLC5,-,-,AFSC,OS,VCR,118500,122
1974-071,1974 Sep 11 1740:23,1974-071A,P,Kosmos-676,Strela-2M No. 19L,S07433,Kosmos,53719-151,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072A,P,Kosmos-677,Strela-1M Blok 10 No. 1,S07435,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072B,P,Kosmos-678,Strela-1M Blok 10 No. 2,S07436,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072C,P,Kosmos-679,Strela-1M Blok 10 No. 3,S07437,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072D,P,Kosmos-680,Strela-1M Blok 10 No. 4,S07438,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072E,P,Kosmos-681,Strela-1M Blok 10 No. 5,S07439,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072F,P,Kosmos-682,Strela-1M Blok 10 No. 6,S07440,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072G,P,Kosmos-683,Strela-1M Blok 10 No. 7,S07441,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-072,1974 Sep 19 1457,1974-072H,P,Kosmos-684,Strela-1M Blok 10 No. 8,S07442,Kosmos,53753-206,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-073,1974 Sep 20 0930:00,1974-073A,P,Kosmos-685,Gektor No. 54L,S07445,Voskhod 11A57,78031  -194,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-074,1974 Sep 26 1634:56,1974-074A,P,Kosmos-686,DS-P1-Yu No. 72L,S07447,Kosmos,45753-166,-,NIIP-53,LC133/3,-,-,RVSN,OS,AVMDS,14900,1500
1974-075,1974 Oct 10 2253:00,1974-075A,P,Westar 2,Westar 2,S07466,Delta 2000-Series,589/D103,-,CC,LC17B,-,-,GSFC,OS,TR-1022,37800,1860
1974-076,1974 Oct 11 1129:59,1974-076A,P,Kosmos-687,Taifun-1A No. 2L,S07469,Kosmos,53721-251 (225?),-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-077,1974 Oct 15 0747:00,1974-077A,P,Ariel 5,UK 5,S07471,Scout,S187C,-,SMLC,-,-,-,CRA,OS,LAAFB,118500,122
1974-078,1974 Oct 18 1500,1974-078A,P,Kosmos-688,Germes No. 24L (?),S07473,Voskhod 11A57,77019  -754,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-079,1974 Oct 18 2236:15,1974-079A,P,Kosmos-689,Zaliv No. 32L (No. 7),S07476,Kosmos,53753-207,-,NIIP-53,LC132/2,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-080,1974 Oct 22 1759:59,1974-080A,P,Kosmos-690,Bion No. 2L,S07478,Soyuz,K 15000-010,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/NK96-26-34,17900,7800
1974-081,1974 Oct 24 1238:41,1974-081A,P,Molniya-1,Molniya-1 No. 24L,S07480,Molniya,78033  -528,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,15700,3700
1974-082,1974 Oct 25 0930:01,1974-082A,P,Kosmos-691,Germes No. 43L,S07483,Soyuz,K 15000-012,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,17900,7800
1974-083,1974 Oct 28 1017:00,1974-083A,P,Meteor,Meteor (M) No. 33L,S07490,Vostok,77019  -352,-,NIIP-53,LC43/4,-,-,RVSN,OS,PL-WWW,8600,4717
1974-084,1974 Oct 28 1430:32,1974-084A,P   D,Luna-23 KT,E-8-5M No. 410,S07491,Proton,285-01,-,NIIP-5,LC81/24,-,-,RVSN,DS,NK9810-25,8200,21000
1974-084,1974 Oct 28 1430:32,1974-084,PX-SD--,Luna-23 VA,VA,A02496,Proton,285-01,-,NIIP-5,LC81/24,-,-,RVSN,DS,NK9810-25,8200,21000
1974-085,1974 Oct 29 1930,1974-085A,P,OPS 7122,HEXAGON SV-9,S07495,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085B,P,RAQUEL I,P-11 No. 4429,S07498,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085C,P,S3-1,STP S73-5,S07499,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085,PX-RT--,SRV Mission 1209-1,SRV-1,A02505,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085,PX-RT--,SRV Mission 1209-2,SRV-2,A02516,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085,PX-RT--,SRV 1805,SRV Mission 1209-5,A02520,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085,PX-RT--,SRV Mission 1209-3,SRV-3,A02524,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-085,1974 Oct 29 1930,1974-085,PX-RT--,SRV Mission 1209-4,SRV-4,A02531,Titan III+,23D-4,-,VS,SLC4E,-,-,SAMSO,OS,Wire,21000,14515
1974-086,1974 Oct 31 1000,1974-086A,P,Interkosmos-12,DS-U2-IK No. 4 (Ion),S07500,Kosmos,53721-253,-,NIIP-53,LC132/2,-,-,RVSN,OS,AVMDS,14900,1500
1974-087,1974 Nov  1 1420,1974-087A,P,Kosmos-692,Gektor No. 49L,S07502,Voskhod 11A57,78031  -179,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-087,1974 Nov  1 1420,1974-087,PX-S---,Kapsula Kosmosa-692,FEU-170-13 No. 4L,A02498,Voskhod 11A57,78031  -179,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-088,1974 Nov  4 1040,1974-088A,P,Kosmos-693,Orion No. 7L,S07509,Soyuz,76029  -836,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,17900,7800
1974-F07,1974 Nov  5 0940,1974-F07,P   F X,Fanhui Shi Weixing (00),FSW No. 1,F00727,Chang Zheng 2,CZ2-1    (3),-,JQ,LA2B,-,-,CALT,OF,LissovC,NA,NA
1974-F07,1974 Nov  5 0940,1974-F07,P   F,FSW RV,FSW RV,F00728,Chang Zheng 2,CZ2-1    (3),-,JQ,LA2B,-,-,CALT,OF,LissovC,NA,NA
1974-089,1974 Nov 15 1711:00,1974-089A,P,NOAA 4,ITOS G,S07529,Delta 2000-Series,592/D104,-,V,SLC2W,-,-,GSFC,OS,TR-1022,37800,1860
1974-089,1974 Nov 15 1711:00,1974-089B,P,AMSAT-OSCAR-7,OSCAR 7,S07530,Delta 2000-Series,592/D104,-,V,SLC2W,-,-,GSFC,OS,TR-1022,37800,1860
1974-089,1974 Nov 15 1711:00,1974-089C,P,Intasat,Intasat,S07531,Delta 2000-Series,592/D104,-,V,SLC2W,-,-,GSFC,OS,TR-1022,37800,1860
1974-090,1974 Nov 16 1145,1974-090A,P,Kosmos-694,Germes No. 33L,S07533,Voskhod 11A57,76029  -763,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-091,1974 Nov 20 1159:58,1974-091A,P,Kosmos-695,DS-P1-Yu No. 73L,S07538,Kosmos,45753-168,-,NIIP-53,LC133/3,-,-,RVSN,OS,AVMDS,14900,1500
1974-092,1974 Nov 21 1033:01,1974-092A,P,Molniya-3,Molniya-3 No. 11L,S07540,Molniya,78031  -572,-,NIIP-53,LC41/1,-,-,RVSN,OS,NK9815-26,15700,3700
1974-093,1974 Nov 21 2343:59,1974-093A,P      M,INTELSAT IV F8,INTELSAT IV F8,S07544,Atlas Centaur,AC-32,-,CC,LC36B,-,-,LERC,OS,TR-1022,29500,5700
1974-094,1974 Nov 23 0028:01,1974-094A,P,Skynet IIB,Skynet IIB,S07547,Delta 2000-Series,591/D105,-,CC,LC17B,-,-,GSFC,OS,TR-1022,37800,1860
1974-095,1974 Nov 27 1144:59,1974-095A,P,Kosmos-696,Gektor No. 57L,S07551,Voskhod 11A57,78031  -197,-,NIIP-53,LC43/4,-,-,RVSN,OS,AK15/RAEX,NA,NA
1974-096,1974 Dec  2 0940:00,1974-096A,PH H,Soyuz-16,Soyuz 7K-TM No. 73-EPSA,S07561,Soyuz,K 15000-014,-,NIIP-5,LC1,-,-,RVSN,OS,NK0204-71,17900,7800
1974-097,1974 Dec 10 0711:02,1974-097A,P   D,Helios 1,Helios 1,S07567,Titan III+,23E-2/TC-2,-,CC,LC41,-,-,LERC/SAMSO,DS,TR-1022,21000,14515
1974-098,1974 Dec 13 1330,1974-098A,P,Kosmos-697,Yantar'-2K No. 2L,S07571,Soyuz,A 15000-003,-,NIIP-53,LC43/3,-,-,RVSN,OS,NK9718-91,17900,7800
1974-099,1974 Dec 17 1145:00,1974-099A,P,Meteor,Meteor (M) No. 32L,S07574,Vostok,77019  -353,-,NIIP-53,LC43/4,-,-,RVSN,OS,PL-WWW,8600,4717
1974-100,1974 Dec 18 1411:59,1974-100A,P,Kosmos-698,Tselina-OM,S07576,Kosmos,53721-256,-,NIIP-53,LC132/1,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-101,1974 Dec 19 0239:00,1974-101A,P,Symphonie 1,Symphonie MV1,S07578,Delta 2000-Series,599/D106,-,CC,LC17B,-,-,GSFC,OS,TR-1022,37800,1860
1974-102,1974 Dec 21 0219:59,1974-102A,P,Molniya-2,Molniya-2 No. 20L,S07583,Molniya,78033  -530,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,15700,3700
1974-103,1974 Dec 24 1100:00,1974-103A,P,Kosmos-699,US-P No. 110,S07587,R-36 / Cyclone,67014-21L,-,NIIP-5,LC90/20,-,-,RVSN,OS,AK15/RAEX,8400,4100
1974-104,1974 Dec 26 0415:00,1974-104A,PP H,Salyut-4,DOS-4,S07591,Proton,284-02,-,NIIP-5,LC81/24,-,-,RVSN,OS,NK9810-25,8200,21000
1974-105,1974 Dec 26 1159:59,1974-105A,P,Kosmos-700,Tsiklon-B No. 11L,S07593,Kosmos,53731-270,-,NIIP-53,LC132/1,-,-,RVSN,OS,AK15/RAEX,14900,1500
1974-106,1974 Dec 27 0910:00,1974-106A,P,Kosmos-701,Germes No. 39L,S07596,Voskhod 11A57,76043  -738,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-001,1975 Jan 10 2143:37,1975-001A,PH H,Soyuz-17,Soyuz 7K-T No. 38,S07604,Soyuz,Kh15000-022,-,NIIP-5,LC1,-,-,RVSN,OS,NK0204-71,17900,7800
1975-002,1975 Jan 17 0900:00,1975-002A,P,Kosmos-702,Gektor No. 13L,S07606,Voskhod 11A57,Kh76001- 33,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAE,NA,NA
1975-003,1975 Jan 21 1104:57,1975-003A,P,Kosmos-703,DS-P1-Yu No. 70L,S07611,Kosmos,45753-167,-,NIIP-53,LC133/3,-,-,RVSN,OS,AVMDS,14900,1500
1975-004,1975 Jan 22 1755:52,1975-004A,P,Landsat 2,Landsat B,S07615,Delta 2000-Series,598/D107,-,V,SLC2W,-,-,GSFC,OS,TR-1022,37800,1860
1975-005,1975 Jan 23 1100,1975-005A,P,Kosmos-704,Germes No. 36L,S07617,Voskhod 11A57,78031  -775,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-006,1975 Jan 28 1205:01,1975-006A,P,Kosmos-705,DS-P1-Yu No. 75L,S07623,Kosmos,64643-171,-,NIIP-53,LC133/3,-,-,RVSN,OS,AVMDS,14900,1500
1975-007,1975 Jan 30 1502,1975-007A,P,Kosmos-706,US-K 5V95 No. 2004,S07625,Molniya,78031  -574,-,NIIP-53,LC41/1,-,-,RVSN,OS,NK9715-48,15700,3700
1975-008,1975 Feb  5 1315,1975-008A,P,Kosmos-707,Tselina-OM,S07637,Kosmos,53753-212,-,NIIP-53,LC132/1,-,-,RVSN,OS,AK15/RAEX,14900,1500
1975-009,1975 Feb  6 0449,1975-009A,P,Molniya-2,Molniya-2 No. 22L,S07641,Molniya,76043  -532,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,15700,3700
1975-010,1975 Feb  6 1635,1975-010A,P,Starlette,Starlette,S07646,Diamant BP.4,No. 1,-,CSG,Diamant,-,-,CNES,OS,JCM,NA,NA
1975-011,1975 Feb  6 2204:00,1975-011A,P,SMS 2,SMS B,S07648,Delta 2000-Series,593/D108,-,CC,LC17B,-,-,GSFC,OS,TR-1022,37800,1860
1975-012,1975 Feb 12 0330,1975-012A,P,Kosmos-708,Geoid,S07663,Kosmos,53749-166,-,NIIP-53,LC132/1,-,-,RVSN,OS,AK15/RAEX,14900,1500
1975-013,1975 Feb 12 1430,1975-013A,P,Kosmos-709,Germes No. 37L,S07664,Voskhod 11A57,78031  -777? (177),-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-F01,1975 Feb 20 2335:00,1975-F01,P   F,INTELSAT IV F6,INTELSAT IV F6,F00731,Atlas Centaur,AC-33,-,CC,LC36A,-,-,LERC,OF,TR-1022,29500,5700
1975-014,1975 Feb 24 0525,1975-014A,P,Taiyo,SRATS,S07671,Mu,M-3C-2,-,KASC,M,-,-,ISAS,OS,ISRJ29.3.99,NA,NA
1975-015,1975 Feb 26 0900:00,1975-015A,P,Kosmos-710,Germes No. 38L,S07675,Voskhod 11A57,78031  -778,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-016,1975 Feb 28 1401:59,1975-016A,P,Kosmos-711,Strela-1M Blok 11 No. 1,S07678,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016B,P,Kosmos-712,Strela-1M Blok 11 No. 2,S07679,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016C,P,Kosmos-713,Strela-1M Blok 11 No. 3,S07680,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016D,P,Kosmos-714,Strela-1M Blok 11 No. 4,S07681,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016E,P,Kosmos-715,Strela-1M Blok 11 No. 5,S07682,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016F,P,Kosmos-716,Strela-1M Blok 11 No. 6,S07683,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016G,P,Kosmos-717,Strela-1M Blok 11 No. 7,S07684,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-016,1975 Feb 28 1401:59,1975-016H,P,Kosmos-718,Strela-1M Blok 11 No. 8,S07685,Kosmos,53749-157,-,NIIP-53,LC132/2,-,-,RVSN,OS,"AK15,corrected",14900,1500
1975-017,1975 Mar 10 0441,1975-017A,P       C,OPS 2439,JUMPSEAT 4,S07687,Titan III,34B-1 (3B-50),-,VS,SLC4W,-,-,SAMSO,OS,JCM,18200,3300
1975-018,1975 Mar 12 0855:00,1975-018A,P,Kosmos-719,Germes No. 40L,S07691,Voskhod 11A57,77019  -750,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-019,1975 Mar 21 0650,1975-019A,P,Kosmos-720,Orion No. 10L,S07696,Soyuz,76041  -851,-,NIIP-53,LC43/3,-,-,RVSN,OS,AK15/TLE,17900,7800
1975-020,1975 Mar 26 0850,1975-020A,P,Kosmos-721,Gektor No. 59L,S07705,Voskhod 11A57,76041  -199,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-020,1975 Mar 26 0850,1975-020F,PX-S---,Kapsula Kosmosa-721,Nauka 5KSA No. 2,S07721,Voskhod 11A57,76041  -199,-,NIIP-53,LC41/1,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-021,1975 Mar 27 0800:00,1975-021A,P,Kosmos-722,Germes No. 41L,S07709,Voskhod 11A57,78031  -781,-,NIIP-5,LC31,-,-,RVSN,OS,AK15/RAEX,NA,NA
1975-022,1975 Mar 27 1430,1975-022A,P,Interkosmos-13,DS-U2-IK No. 5 (Mag),S07710,Kosmos,53721-268,-,NIIP-53,LC132/1,-,-,RVSN,OS,AVMDS,14900,1500
1975-023,1975 Apr  1 1230:00,1975-023A,P,Meteor,Meteor (M) No. 31L,S07714,Vostok,76041  -366,-,NIIP-53,LC41/1,-,-,RVSN,OS,PL-WWW,8600,4717
