Vehicle / Vehicle Family,Cost to LEO (FY21$/kg),Max. Payload Mass to LEO (kg),Source(s),Notes,Additional Tags,,,,,,,,,,,Source #1,,,,,,,,,Source #2,,,,,,,,,Source #3,,,,,,,,,Source #4,,,,,,,,,Source #5,,,,,,,,,
Delta II,38800,3755,FAA Office of Commercial Space Transportation (2018),"Wertz and Larson estimate is for the Delta II 7920 vehicle specifically. Xu, Hollingsworth, and Smith estimate labeled ""Delta 2 6000 & 7000.""","United Launch Alliance, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Delta",Delta II,#REF!,#REF!,#REF!,Futron (2002),Wertz and Larson (1996),FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,Futron (2002),10692,2000,Futron (2002),55,,2000,5144,,Wertz and Larson (1996),9400,1995,Wertz and Larson (1996),45,50,1995,5035,,FAA Office of Commercial Space Transportation (2018),36565,2018,FAA Office of Commercial Space Transportation (2018),137.3,,2018,3755,,"Xu, Hollingsworth, and Smith (2019)",14562.5972006221,2010,"Xu, Hollingsworth, and Smith (2019)",74.91,,2010,5144,,,,,,,,,,,
Delta III,18000,8290,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Delta 3 8000.""","Boeing, Cape Canaveral / Kennedy Space Center, Delta",Delta III,#REF!,#REF!,#REF!,Koelle (1991) / Missing,"Xu, Hollingsworth, and Smith (2019)",,,,,Koelle (1991) / Missing,11700,2018,Koelle (1991),,,,,Missing,"Xu, Hollingsworth, and Smith (2019)",14830,2010,"Xu, Hollingsworth, and Smith (2019)",122.94,,2010,8290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta IV,10400,28790,FAA Office of Commercial Space Transportation (2018),,"United Launch Alliance, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Delta",Delta IV,#REF!,#REF!,#REF!,FAA Office of Commercial Space Transportation (2018),,,,,,FAA Office of Commercial Space Transportation (2018),9795,2018,FAA Office of Commercial Space Transportation (2018),164,400,2018,28790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta IV Heavy,11600,22560,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Delta 4M, 4M+, 4H.","United Launch Alliance, Cape Canaveral / Kennedy Space Center, Vandenberg Air Force Base, Delta",Delta IV Heavy,#REF!,#REF!,#REF!,"Xu, Hollingsworth, and Smith (2019)",,,,,,"Xu, Hollingsworth, and Smith (2019)",9530,2010,"Xu, Hollingsworth, and Smith (2019)",215,,2010,22560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta J,,,,,Delta,Delta J,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta L,,,,,Delta,Delta L,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta M,,,,,Delta,Delta M,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta N,,,,,Delta,Delta N,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-5,,,,,,DF-5,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dnepr,9600,3200,FAA Office of Commercial Space Transportation (2018),,"ISC Kosmotras, Baikonur Cosmodrome, Yasny Launch Base",Dnepr,#REF!,#REF!,#REF!,Futron (2002),Foust (2003),FAA Office of Commercial Space Transportation (2018),"Xu, Hollingsworth, and Smith (2019)",,,Futron (2002),3409,2000,Futron (2002),15,,2000,4400,,Foust (2003),3400,2003,Foust (2003),15,,2003,4400,,FAA Office of Commercial Space Transportation (2018),9063,2018,FAA Office of Commercial Space Transportation (2018),29,,2018,3200,,"Xu, Hollingsworth, and Smith (2019)",4643,2010,"Xu, Hollingsworth, and Smith (2019)",20.43,,2010,4400,,,,,,,,,,,
